열,이름,태그,열 1,열 2
No,index,,홈페이지 첫 페이지,2021년 11월 19일
No,Login,,로그인,
No,Main,,추천영화,
No,MovieBoxOffice,,영화 박스오피스,
No,MovieDetail,,영화 상세 페이지,
No,MovieSearch,,영화 검색,
No,Profile,,사용자 프로필,
No,Signup,,회원가입,
No,App,,,
